,1,2,3,4,5,6,7
1,NA,NA,NA,NA,NA,NA,NA
2,0,0,0,NA,NA,NA,NA
3,0,0,0,NA,NA,NA,NA
4,24,27,41,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA
8,17,11,11,NA,NA,NA,NA
9,115,135,113,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA
11,61,NA,NA,NA,NA,NA,NA
12,37,24,52,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA
15,2,0,0,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA
18,15,16,13,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA
22,28,58,1,NA,NA,NA,NA
23,4,6,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA
26,0,0,NA,NA,NA,NA,NA
27,3,0,1,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA
29,0,0,0,NA,NA,NA,NA
30,4,1,0,NA,NA,NA,NA
31,26,14,20,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA
34,0,1,0,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA
36,1,1,1,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA
39,1,0,0,NA,NA,NA,NA
40,1,1,1,NA,NA,NA,NA
41,29,52,35,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA
43,2,0,1,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA
45,6,5,6,NA,NA,NA,NA
46,208,261,171,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,NA,NA
48,42,25,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,NA
51,2,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA
53,0,3,1,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA,NA
56,0,0,0,NA,NA,NA,NA
57,1,2,0,NA,NA,NA,NA
58,181,140,175,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,NA,NA
60,0,0,0,NA,NA,NA,NA
61,5,3,6,NA,NA,NA,NA
62,2,7,0,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA,NA
65,0,NA,NA,NA,NA,NA,NA
66,2,0,1,NA,NA,NA,NA
67,0,0,0,NA,NA,NA,NA
68,0,0,0,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,NA,NA,NA,NA,NA
71,0,0,0,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA,NA,NA
